#    name       date    lev    value 
  precip  1983-01-01     -1 376.8653 
  precip  1983-01-01      3  508.216 
  precip  1983-01-01      6 494.6962 
  precip  1983-01-01      9 498.6204 
  precip  1983-01-01     11 495.6762 
  precip  1984-01-01     -1 423.5571 
  precip  1984-01-01      3 476.7336 
  precip  1984-01-01      6 468.1859 
  precip  1984-01-01      9 479.0327 
  precip  1984-01-01     11 474.2961 
  precip  1985-01-01     -1 476.2425 
  precip  1985-01-01      3 480.1418 
  precip  1985-01-01      6 474.4978 
  precip  1985-01-01      9 477.5914 
  precip  1985-01-01     11 477.8779 
  precip  1986-01-01     -1 454.3712 
  precip  1986-01-01      3 477.4358 
  precip  1986-01-01      6 479.4315 
  precip  1986-01-01      9  486.158 
  precip  1986-01-01     11 483.9931 
  precip  1987-01-01     -1 445.5035 
  precip  1987-01-01      3 484.6966 
  precip  1987-01-01      6  483.676 
  precip  1987-01-01      9 487.2593 
  precip  1987-01-01     11 489.7318 
  precip  1988-01-01     -1 493.5779 
  precip  1988-01-01      3 500.2411 
  precip  1988-01-01      6 487.6435 
  precip  1988-01-01      9 483.9616 
  precip  1988-01-01     11 487.2233 
  precip  1989-01-01     -1 491.8565 
  precip  1989-01-01      3 481.8405 
  precip  1989-01-01      6 484.1691 
  precip  1989-01-01      9 480.2611 
  precip  1989-01-01     11 481.3736 
  precip  1990-01-01     -1 526.6092 
  precip  1990-01-01      3 476.3048 
  precip  1990-01-01      6 483.8458 
  precip  1990-01-01      9 488.6884 
  precip  1990-01-01     11 487.6803 
  precip  1991-01-01     -1 466.8388 
  precip  1991-01-01      3 497.7702 
  precip  1991-01-01      6 491.4123 
  precip  1991-01-01      9 502.6415 
  precip  1991-01-01     11 500.1483 
  precip  1992-01-01     -1 474.5058 
  precip  1992-01-01      3 506.1964 
  precip  1992-01-01      6 491.6991 
  precip  1992-01-01      9 498.7704 
  precip  1992-01-01     11 497.4839 
  precip  1993-01-01     -1 458.4685 
  precip  1993-01-01      3 494.2816 
  precip  1993-01-01      6 482.4052 
  precip  1993-01-01      9 489.3784 
  precip  1993-01-01     11 488.6378 
  precip  1994-01-01     -1 435.0169 
  precip  1994-01-01      3 494.9185 
  precip  1994-01-01      6 488.6438 
  precip  1994-01-01      9 487.7566 
  precip  1994-01-01     11 489.7687 
