#    name       date    lev    value 
  precip  1981-01-01     -1 342.9848 
  precip  1981-01-01      3      nan 
  precip  1981-01-01      6      nan 
  precip  1981-01-01      9      nan 
  precip  1981-01-01     11      nan 
  precip  1982-01-01     -1 292.2437 
  precip  1982-01-01      3 373.8629 
  precip  1982-01-01      6 382.2956 
  precip  1982-01-01      9 389.7514 
  precip  1982-01-01     11 389.8455 
  precip  1983-01-01     -1 402.6393 
  precip  1983-01-01      3 411.1725 
  precip  1983-01-01      6  417.515 
  precip  1983-01-01      9 407.0774 
  precip  1983-01-01     11 412.0285 
  precip  1984-01-01     -1 398.4412 
  precip  1984-01-01      3 445.5485 
  precip  1984-01-01      6 438.7585 
  precip  1984-01-01      9 431.7604 
  precip  1984-01-01     11 419.4569 
  precip  1985-01-01     -1 413.1751 
  precip  1985-01-01      3 430.1327 
  precip  1985-01-01      6  425.211 
  precip  1985-01-01      9 427.1367 
  precip  1985-01-01     11  409.953 
  precip  1986-01-01     -1 312.6716 
  precip  1986-01-01      3 396.3099 
  precip  1986-01-01      6 402.4023 
  precip  1986-01-01      9 395.6419 
  precip  1986-01-01     11 387.1169 
  precip  1987-01-01     -1 458.6375 
  precip  1987-01-01      3 388.6369 
  precip  1987-01-01      6 401.5574 
  precip  1987-01-01      9 391.7693 
  precip  1987-01-01     11 386.8502 
  precip  1988-01-01     -1  453.399 
  precip  1988-01-01      3 452.3343 
  precip  1988-01-01      6 471.8936 
  precip  1988-01-01      9 451.3242 
  precip  1988-01-01     11 446.1605 
  precip  1989-01-01     -1 436.3043 
  precip  1989-01-01      3 434.3014 
  precip  1989-01-01      6 440.0789 
  precip  1989-01-01      9 444.5642 
  precip  1989-01-01     11 453.1635 
  precip  1990-01-01     -1 435.1055 
  precip  1990-01-01      3 397.4472 
  precip  1990-01-01      6 401.0795 
  precip  1990-01-01      9 393.7202 
  precip  1990-01-01     11  381.965 
  precip  1991-01-01     -1 299.4211 
  precip  1991-01-01      3 378.0256 
  precip  1991-01-01      6 389.8695 
  precip  1991-01-01      9 402.4374 
  precip  1991-01-01     11 407.1779 
  precip  1992-01-01     -1  396.617 
  precip  1992-01-01      3 399.0131 
  precip  1992-01-01      6 404.3091 
  precip  1992-01-01      9 399.2316 
  precip  1992-01-01     11 412.8028 
  precip  1993-01-01     -1 401.1216 
  precip  1993-01-01      3 423.7698 
  precip  1993-01-01      6 394.8268 
  precip  1993-01-01      9   380.49 
  precip  1993-01-01     11 399.4657 
  precip  1994-01-01     -1 345.2311 
  precip  1994-01-01      3 383.6611 
  precip  1994-01-01      6 391.1104 
  precip  1994-01-01      9 407.0851 
  precip  1994-01-01     11 412.4911 
